poem_name,poem_meter,poem_content,line_count
لا يشمت الأعداء بالموت إننا,طويل,"لا يَشمَتِ الأَعداءُ بِالمَوتِ إِنَّنا
سَنُخلي لَهُم مِن عَرصَةِ المَوتِ مَورِدا
وَلا تَحسَبَنَّ المَوتَ عاراً فَإِنَّنا
رَأَينا المَنايا قَد أَصَبنَ مُحَمَّدا
وَلا يَحسِبِ الأَعداءُ أَنَّ مُصيبَتي
أَكَلَّت لَهُم مِنّي لِساناً وَلا يَدا
تَتابَعَ في عامٍ بَنِيَّ وَإِخوَتي
فَأَصبَحتُ إِن لَم يُخلِفِ اللَهُ واحِدا",4
تفديك يا مكس الجياد الصلادم,طويل,"تفَدّيكَ يا مَكسُ الجِيادُ الصَلادِمُ
وَتَفدي الأساةُ النُطسُ مَن أَنتَ خادِمُ
كَأَنَّكَ إِن حارَبتَ فَوقَكَ عَنتَرٌ
وَتَحتَ اِبنِ سينا أَنتَ حينَ تُسالِمُ
سَتُجزى التَماثيلَ الَّتي لَيسَ مِثلُها
إِذا جاءَ يَومٌ فيهِ تُجزى البَهائِمُ
فَإِنَّكَ شَمسٌ وَالجِيادُ كَواكِبٌ
وَإِنَّكَ دينارٌ وَهُنَّ الدَراهِمُ
مِثالٌ بِساحِ البَرلَمانِ مُنَصَّبٌ
وَآخَرُ في بارِ اللِوا لَكَ قائِمُ
وَلا تَظفَرُ الأَهرامُ إِلّا بِثالِثٍ
مَزاميرُ داوُدٍ عَلَيهِ نَواغِمُ
وَكَم تَدَّعي السودانَ يا مَكسُ هازِلاً
وَما أَنتَ مُسَوَّدٌ وَلا أَنتَ قاتِمُ
وَما بِكَ مِمّا تُبصِرُ العَينُ شُبهَةٌ
وَلَكِن مَشيبٌ عَجَّلَتهُ العَظائِمُ
كَأَنَّكَ خَيلُ التُركِ شابَت مُتونُها
وَشابَت نَواصيها وَشابَ القَوائِمُ
فَيا رُبَّ أَيّامٍ شَهِدتَ عَصيبَةٍ
وَقائِعُها مَشهورَةٌ وَالمَلاحِمُ",10
إن التي ألقتك من تحت رجلها,طويل,"إِنَّ الَّتي أَلقَتكَ مِن تَحتِ رِجلِها
وَليدُ لِمِجهالُ العَشِيِّ خَبوبُ
لَيالِيَ يُدعى دَيسَماً بِاِبنِ صَقعَبٍ
لِما ضَمَّ زَوجُ الكَلبَتَينِ ضَروبُ
فَما لَكَ مِن كَعبٍ حَصاةٌ تَعُدُّها
وَإِن قُلتَ مِن شِجعٍ فَأَنتَ كَذوبُ
وَلَكِنَّ قَيناً حَمَّمَ الكيرُ أَنفَهُ
لَئيمُ المُحَيّا لِلِئامِ رَبيبُ
إِذا حُصِّلَت كَعبٌ نَموا لِأَبيهِم
فَطابوا وَإِن تُنسَب فَثَمَّ تَخيبُ
فَما لَكَ في الرُكنَينِ حَقُّ حِجابَةٍ
وَلا لَكَ في صِهرِ النَبِيِّ نَصيبُ",6
حذار فإن الليث قد فر نابه,طويل,"حَذارِ فَإِنَّ اللَيثَ قَد فَرَّ نابُهُ
وَقَد أَوتَرَ الرامي المُصيبُ وَأَنبَضا
أُسَرُ بِمَن أَرجا إِلى اليَومِ يَومَهُ
فَأَدرَكَ ما يَهوى وَآسى لِمَن مَضى
وَقَد كُنتُ أَدعو أَن تُؤَخَّرَ مُدَّتي
لَعَلّي أَرى يَوماً مِنَ العَدلِ أَبيَضا",3
ألا حي لي من ليلة القبر إنه,طويل,"ألا حيّ لي من ليلة القبر إنه
مآب وإن أكرهتُه أناآيبه
وتارك خو يَنسج الريحُ متنَهُ
إذا اطردت قريانُه ومذانبُه
إذاً إفامَتْ فيه الجنوب كأنما
يدق به قِرفَ القَرَتفُل ناجبُه
إذا نورت غَراؤه ودماثه
وزِين بقُلح الأيهُقان أخاشبُه
كأن به عَيراً من المسك حلَها
دهَاقين ملك تجتني ومرازِبُه
وتارك ريعان الشباب لأهله
تروح له أصحابه وصواحبه",6
لقد هتك العبد الطرماح ستره,طويل,"لَقَد هَتَكَ العَبدُ الطِرِمّاحُ سِترَهُ
وَأَصلى بِنارٍ قَومَهُ فَتَصَلَّتِ
سَعيراً شَوَت مِنهُم وُجوهاً كَأَنَّها
وُجوهُ خَنازيرٍ عَلى النارِ مُلَّتِ
فَما أَنجَبَت أُمَّ العَلافِيَّ طَيِّءٌ
وَلَكِن عَجوزٌ أَخبَثَت وَأَقَلَّتِ
وَجَدنا قِلادَ اللُؤمِ حِلفاً لِطَيِّءٍ
مُقارِنُها في حَيثُ باتَت وَظَلَّتِ
وَما مَنَعَتنا دارَها مِن قَبيلَةٍ
إِذا ما تَميمٌ بِالسُيوفِ اِستَظَلَّتِ
بَني مُحصَناتٍ مِن تَميمٍ نَجيبَةٍ
لِأَكرَمِ آباءِ مِنَ الناسِ أَدَّتِ
وَلَولا حِذارٌ أَن تُقَتَّلَ طَيِّءٌ
لَما سَجَدَت لِلَّهِ يَوماً وَصَلَّتِ
نَصارى وَأَنباطٌ يُؤَدّونَ جِزيَةً
سِراعاً بِها جَمزاً إِذا هي أُهِلَّتِ
سَقَتهُم زُعافَ السُمِّ حَتّى تَذَبذَبوا
وَلاقَوا قَناتي صُلبَةً فَاِستَمَرَّتِ
تُعالِنُ بالسَوءاتِ نِسوانُ طَيِّءٍ
وَأَخبَثُ أَسرارٍ إِذا هي أَسَرَّتِ
لَها جَبهَةٌ كَالفِهرِ يُندي إِطارُها
إِذا وَرِمَت أَلغادُها وَاِشمَخَرَّتِ
أَتَذكُرُ شَأنَ الأَزدِ ما أَنتَ مِنهُمُ
وَما لَقِيَت مِنّا عُمانُ وَذَلَّتِ
قَتَلناهُمُ حَتّى أَبَرنا شَريدَهُم
وَقَد سُبِيَت نِسوانُهُم وَاِستُحِلَّتِ
نَسيتُم بِقِندابيلَ يَوماً مُذَكَّراً
شَهيراً وَقَتلى الأَزدِ بِالقاعِ جُرَّتِ",14
سكنتك يا دنيا برغمي مكرها,طويل,"سَكَنتُكِ يا دُنيا بِرُغمِيَ مُكرَهاً
وَما كانَ لي في ذاكَ صُنعٌ وَلا أَمرُ
وَجَرَّبتُ حَتّى قَد قَلَبتُكِ خِبرَةً
فَأَنتِ وِعاءٌ حَشوُهُ الهَمُّ وَالوِزرُ
فَإِن أَرتَحِل يَوماً أَدَعكِ ذَميمَةً
وَما فيكِ مِن دَعوى غِراسٍ وَلا بَذرُ",3
وطارق ليل من علية زارنا,طويل,"وَطارِقِ لَيلٍ مِن عُلَيَّةَ زارَنا
وَقَد كادَ عَنّي اللَيلُ يَنفَدُ آخِرُه
فَقُلتُ لَهُ هَذا مَبيتٌ وَعِندَنا
قِرى طارِقٍ مِنّا قَريبٍ أَواصِرُه
كَريمٍ عَلَينا زارَنا عَن حَنابَةٍ
بِهِ اللَيلُ إِذ حَلَّت عَلَينا عَساكِرُه
فَباتَ وَبِتنا نَحسِبُ اللَيلَ مُصبِحاً
بِها عِندَنا حَتّى تَجَرَّمَ غابِرُه
فَلَو لَم تَكُن رُؤياً لَأَصبَحَ عِندَنا
كَريمٌ مِنَ الأَضيافِ عَفٌّ سَرائِرُه
فَيا لِعِبادِ اللَهِ كَيفَ تَخَيَّلَت
لَنا باطِلاً لَمّا جَلا اللَيلَ نائِرُه
إِلى أَسَدٍ سيري فَإِنَّ لِقاءَهُ
حَيا الغَيثِ يُحيِي مَيِّتَ الأَرضِ ماطِرُه
إِلَيكَ أَبا الأَشبالِ سارَت وَخاطَرَت
عَوادِيَ لَيلٍ كانَ تُخشى بَوادِرُه
لِتَلقى أَبا الأَشبالِ وَالمُستَغيثُهُ
مِنَ الفَقرِ أَوخَوفٍ تُخافُ جَرائِرُه
كَفاهُ الَّذي تَخشى مِنَ الخَوفِ نَفسُهُ
وَسُدَّت بِإِعطاءِ الأُلوفِ مَفاقِرُه
دَعاني أَبو الأَشبالِ وَالنيلُ دونَهُ
وَأَيُّ مُجيبٍ إِذ دَعاني وَزائِرُه
وَما زالَ مُذ كانَ الخُماسِيَّ يَشتَري
غَوالِيَ مِن مَجدٍ عِظامٍ مَآثِرُه
يَعودُ عَلى المَولى نَداهُ وَمالُهُ
وَقَد عَزَّ وَسطَ القَومِ مَن هُوَ ناصِرُه
عَلَت كَفُّكَ اليُمنى طِعاناً وَنائِلاً
يَدَي كُلِّ مِعطاءٍ وَقِرنٍ تُساوِرُه",14
وغيداء لا تنفك تمل عيونها,طويل,"وغيداء لا تنفكَ تمل عيونها
على النّاسِ من أسحار بابل ما تُملي
تناءَيت عنها وهي تَدعو إلى الّلقا
وأعرضتُ عنها وهي تدعو إلى الوصل
وكلّفتُ نفسي عن هواها تَسَلّياً
وكم قد سلا بالمجد عن مثلها مثلي
فما خدعتني رقّةٌ من كلامها
ولا دلّ قلبي نحوها مَلَقُ الدلِّ
ومن بالعُلى والمجد أصبح مغرماً
يصدّ لعمري عن سُعادٍ وعن جُملِ
أبى الله أن أمسي وأصبح هَادمَا
لما شادَ أبائي الأكارمُ من قبلي
وما زلتُ أبدي للزّمان تجلّداً
كأنّي عمّا نابني عنه في شُغلِ
أُقضّي زماني بالأماني تَعلّةً
فما سَمَري إلا عَسَانيَ أو عَلّي
قرين هموم ليس أرجو لحلِّها
سوى الله ربّي مالكِ العقدِ والحلِّ",9
لطلعت حرب في مجال اجتهاده,طويل,"لِطَلْعَتَ حَرْبٍ فِي مَجَالِ اجْتِهَادِهِ
مَفَاخِرُ يَحْرَى ذِكْرُهَا أَنْ يُرَدَّدَا
فَقَدْ كَانَ فِي إِقْدَامِهِ وَثَبَاتِهِ
بِأَوْفَى المَعَانِي قُدْوَةً لِمَنِ اقْتَدَى
وَفِي سِيَرِ الغُرِّ المَيَامِين كَمْ جَلَتْ
لَنَا المثُلُ العُلْيَا مَنَائِرَ لِلهُدَى
بِنَفْسِ عِصَامٍ رَامَ عِزّاً وَسُؤدَداً
فَأَدْرَكَ عِزّاً لاَ يُرَامُ وَسُؤْدَدَا
وَأَثْرَى مِنَ المَالِ المُؤَثَّل بِالنُّهَى
وَأَثْرَى مِنَ الْحَمْدِ المُؤَثَّل بِالنَّدَى
أَتَى آخِرَ الأَقرَانِ فِي حَلْبَةِ العُلَى
فَجَلَّى وَلَمْ يُلْحَقْ إِلَى آخِرِ المدَى
كَبِيرُ المُنَى هَيْهَاتَ أَنْ يَبْلُغَ المُنَى
إِذَا طَاشَ فِي آرَائِهِ وَتَرَدَّدَا
وَمَنْ لَمْ يُعِنْ بِالجِدِّ عَالِيَ جَدِّهِ
فَيَقْظَتُهُ حُلْمٌ وَعِيشَتُهُ سُدَى
بِهَذَا تَسَامى كُلُّ مَنْ رَاضَ نَفْسَهُ
وَقَوَّمَ مِنْ أَخْلاَقِهِ مَا تَأَوَّدَا",9
عجبتُ لركب فرحتهم مليحة,طويل,"عَجِبتُ لِرَكبٍ فَرَّحَتهُم مُليحَةٌ
تَأَلَّقُ مِن بَينِ الذَنابينِ فَاِلمِعا
فَلَم نَأتِها حَتّى لَعَنّا مَكانَها
وَحَتّى اِشتَفى مِن نَومِهِ صاحِبُ الكَرى
فَلَمّا أَتَينا مَن عَلى النارِ أَقبَلَت
إِلَينا وُجوهُ المُصطَلينَ ذَوي اللَحى
فَلَمّا نَزَلنا وَاِختَلَطنا بِأَهلِها
بَكوا وَاِشتَكَينا أَيَّ ساعَةَ مُشتَكى
تَشَكّوا وَقالوا لا تَلُمنا فَإِنَّنا
أُناسٌ حَرامِيّونَ لَيسَ لَنا فَتى
وَقالوا أَلا هَل مِن فَتىً مِثلَ غالِبٍ
وَأَيّايَ بِالمَعروفِ قائِلُهُم عَنى
وَوَسطَ رِحالِ القَومِ بازِلُ عامِها
جَرَنبَذَةُ الأَسفارِ هَمّاسَةُ السُرى
فَلَمّا تَصَفَّحتُ الرِكابَ اِتَّقَت بِها
أُريدُ بَقِيّاتِ العَرائِكِ في الذُرى
أَقولُ وَقَد قَضَيتُ بِالسَيفِ ساقَها
حِرامَ بنِ كَعبٍ لا مَذَمَّةَ في القِرى
فَباتَ لِأَصحابي وَأَربابِ مَنزِلي
وَأَضيافِهِم رِسلٌ وَدِفءٌ وَمُشتَوى",10
نبئت أن الخزرجيين حافظوا,طويل,"نُبِّئتُ أَنَّ الخَزرَجِيِّينَ حافَظوا
بِأَلفَينِ مِنهُم دارِعونَ وَحُسَّرُ
وَما فَتِئَت خَيلٌ تَثوبُ وَتَدَّعي
إِلى النَمرِ حَتّى غَصَّ بِالقَومِ عَرعَرُ
وَقَد صارَتِ الأَسرى لِمَن يَصطَلي الوَغى
فَخابَت مِنَ الأَسرى حُبَينٌ وَيَعمَرُ
وَسارَت عَدِيٌّ لِلجِوارِ فَأَجزَرَت
وَغَيرُ عَدِيٍّ في المَواطِنِ أَصبَرُ
وَغَنَّمَ عَتّابَ اِبنَ سَعدٍ سِواهُمُ
وَشَمَّصَ بَهراءَ الوَشيجُ المُمَكَّرُ
وَحَلَّت هِلالٌ بَينَ حَرثٍ وَقَريَةٍ
تَروحُ عَلَيها بِالعَشِيِّ المُعَصفَرُ
أَلا إِنَّ شَرَّ الناسِ حَيثُ لَقيتَهُم
أَراهيطُ بِالثَرثارِ حَضرى وَوُفَّرُ
وَعَمروُ بنُ بَكرٍ لَم تُكَشَّف سُتورُها
وَحَرَّرتُ عَبدَ اللَهِ فيمَن يُحَرَّرُ",8
لقد طرقتني أم خشف وإنها,طويل,"لَقَد طَرَقَتني أُمُّ خِشفٍ وَإِنَّها
إِذا صَرَعَ القَومَ الكَرى لَطَروقُ
أَقامَ فَريقٌ مِن أُناسٍ بِوُدِّهِم
بِذاتِ الشَرى عِندي وَباتَ فَريقُ
بِحاجَةِ مَحزونٍ كَئيبٍ فُؤادُهُ
رَهينٌ بِبَيضاتِ الحِجالِ صَديقُ
تَخَيَّلنَ أَن هَبَّت لَهُنَّ عَشيَّةٌ
جَنوبٌ وَأَن لاحَت لَهُنَّ بُروقُ
فَيا كَبِداً أَخشى عَلَيها وَإِنَّها
مَخافَةَ هَضباتِ اللِوى لَخَفوقُ
كَأَنَّ فُضولَ الرَقمِ حينَ جَعَلنَها
غَريّاً عَلى أُدمِ الجِمالِ عُذوقُ
وَفيهِنَّ مِن نُجلِ النِساءِ نَجيبَةٌ
تَكادُ عَلى غُرِّ السَحابِ تَروقُ
هِجانٌ فَأَمّا الضَعصُ مِن أُخرَياتِها
فَوَعثٌ وَأَمّا خَصرُها فَدَقيقُ",8
ومستنبح تستكشط الريح ثوبه,طويل,"وَمُستَنبِحٍ تَستَكشِطُ الريحُ ثَوبَهُ
لِيَسقُطَ عَنهُ وَهوَ بِالثَوبِ مُعصِمُ
عَوى في سَوادِ اللَيلِ بَعدَ اِعتِسافِهِ
لِيَنبحَ كَلبٌ أَو لِيَفزَعَ نُوَّمُ
فَجاوَبَهُ مُستَسمِعُ الصَوتِ لِلقرى
لَهُ مَعَ إِتيانِ المُهِبِّينَ مَطعَمُ
يَكادُ إِذا ما أَبصَرَ الضَيفَ مُقبِلاً
يُكَلِّمُهُ مِن حُبِّهِ وَهوَ أَعجَمُ",4
ألا من لنفس في الهوى قد تمادت,طويل,"أَلا مَن لِنَفسٍ في الهَوى قَد تَمادَتِ
إِذا قُلتُ قَد مالَت عَنِ الجَهلِ عادَتِ
وَحَسبُ امرِئٍ شَرّاً بِإِهمالِ نَفسِهِ
وَإِمكانِها مِن كُلِّ شَيءٍ أَرادَتِ
تَزاهَدتُ في الدُنيا وَإِنّي لَراغِبٌ
أَرى رَغبَتي مَمزوجَةً بِزَهادَتي
وَعَوَّدتُ نَفسي عادَةً فَلَزِمتُها
أَراهُ عَظيماً أَن أُفارِقَ عادَتي
إِرادَةُ مَدخولٍ وَعَقلُ مُقَصِّرٍ
وَلَو صَحَّ لي عَقلي لَصَحَّت إِرادَتي
وَلَو طابَ لي غَرسي لَطابَت ثِمارُهُ
وَلَو صَحَّ لي غَيبي لَسَحَّت شَهادَتي
أَيا نَفسُ ما الدُنيا بِأَهلٍ لِحَيِّها
دَعيها لِأَقوامٍ عَلَيها تَعادَتِ
أَلا قَلَّما تَبقى نُفوسٌ لِأَهلِها
إِذا راوَحَتهُنَّ المَنايا وَغادَتِ
أَلا كُلُّ نَفسٍ طالَ في الغَيِّ عُمرُها
تَموتُ وَإِن كانَت عَنِ المَوتِ حادَتِ
أَلا أَينَ مَن وَلّى بِهِ اللَهوُ وَالصِبا
وَأَينَ قُرونٌ قَبلُ كانَت فَبادَتِ
كَأَن لَم أَكُن شَيئاً إِذا صِرتُ في الثَرى
وَصارَ مِهادي رَضرَضاً وَوِسادَتي
وَما مَلجَأٌ لي غَيرَ مَن أَنا عَبدُهُ
إِلى اللَهِ رَبّي شِقوَتي وَسَعادَتي",12
وفي أغيد من حسنه البدر خائف,طويل,"وفي أغيدٌ من حسنِهِ البدرُ خائفٌ
على نفسِهِ والنجمُ في الغربِ مائلُ
سأسفحُ دمعي في هوى المجد منشداً
ألا في سبيلِ المجدِ ما أنا فاعلُ
فلو رامَ قَسُّ وصفَ باقلِ خدِّهِ
لعيَّرَ قساً بالفهاهةِ باقلُ",3
أفي كل يوم رام بهمة,طويل,"أَفي كُلِّ يَومٍ رامٍ بِهِمَّةٍ
إِلى حَيثُ لا تَرمي النُجومُ الشَوابِكُ
وَما كُلُّ ما مَنَّيتَ نَفسَكَ خالِياً
تَنالُ وَلا تُفضي إِلَيهِ المَسالِكُ
يَقولونَ رُم تَلقَ الَّذي أَنتَ طالِبٌ
فَأَينَ العَواقي دونَها وَالمَهالِكُ
وَكَم سَعيُ ساعٍ جَرَّ حَتفاً لِنَفسِهِ
وَلَولا الخُطى ما شاكَ ذا الرَجلِ شائِكُ
أَلا رُبَّما حَيّاكَ رِزقُكَ طالِعاً
وَرَحلُكَ مَحطوطٌ وَنِضوُكَ بارِكُ",5
الهي مغيث المستغيثين هذه,طويل,"الهي مغيث المستغيثين هذه
سبيلي وكل السبل عني سدت
الهي مغيث المستغيثين لم أجد
سواك وقد ضاق الخناق بكربتي
الهي ما لي وصلة اجتدي بها
غياثك لكن غوث لطفك وصلتي
أقل عثرتيا رب من كبوة الهوى
فكل حياتي كبوة إثر كبوة
الهي أغثني بالذي أنت أهله
فأنت جميل الفعل غوثي وعمدتي
الهي أغثني كم عثار وقيته
وكم أزمة فرجتها بعد أزمة
الهي أغثني في نوائب جمة
قطعن عن استكمال أمرك همتي
الهي دارت بي دوائر فانتحت
فنائك يازي وبابك حلت
الهي مغيث المستغيثين لا تكل
إلى نصب الحرمان اخبات وقفتي
الهي قد استعملتني باستغاثتي
وأكرمتني باسترفاد يمناك نصبتي
فعجل غياثاً يكشف الهول مطلقاً
ويفتح باب اللطف بي في بليتي",11
ورضة أنس بات فيها ابن أيكة,طويل,"وَرضة أُنس باتَ فيها اِبن أَيكة
يُغرد وَالناي الرَخيم يَشنف
وَقَد ضمنا فيها مِن اللَيل سابِغاً
رِداءَ بِأَكناف السَحاب مسجف
وَظَلت عَرانين الأَباريق بِالطلا
إِلى أَن بَدَت كافورة الصُبح ترعف",3
تظرفت لما قلت لا تتظرفي,طويل,"تظرَّفتِ لمّا قلتُ لا تتظرَّفي
فليتكِ إذ خالفتِني لم تُضَعِّفي
وقد كان في ترك الخضاب تظرُّفٌ
فلا لي تركتيه ولا للتظرُّفِ
نهيتُكِ عن ذاك التحسُّن إنني
بحسنكِ عن ذاك التحسُّن مكتفي
فلو خرجت روحي لهانت ولم يهُن
خروجُكِ من ذاك الحِجالِ المُسَجَّفِ
ولم ترقبي قولي ولم تُرعَ ذمتي
ولم تحفظي عهدي ولم تتوقفي
فإمّا دلالاً في الهوى أو تجنِّياً
فلا تجمعي هذا وذاك فتُسرفي
فإمّا على قدر الفعال تَدَلَّلي
وإمّا على قدر التدلُّل أنصِفي
وأسعفتِني فيما مضى وغررتِني
ولم تسعفي من قبل إلا لتُخلفي
ولو لم تكن لي حاجة فيك لم أهُن
لديكِ وإن لم تعرفي ذاك فاعرفي
وما غَيرة العشّاق إلا وفاؤهم
وكلُّ محبٍّ لا يغار فلن يفي",10
أبحت حريم الكأس إذ كنت مثريا,طويل,"أَبَحتُ حَريمَ الكَأسِ إِذ كُنتُ مُثرِياً
وَأَقصَرتُ عَنها بَعدَما صِرتُ مُعسِرا
وَلَو أَنَّ مالي يَستَقِلَّ بِلَذَّتي
لَأَنسَيتُ أَهلَ اللَهوِ كِسرى وَقَيصَرا
وَثِقتُ بِعَفوِ اللَهِ عَن كُلِّ مُسلِمٍ
فَلَستُ عَنِ الصَهباءِ ما عِشتُ مُقصِرا
وَأَحوَرَ مَخلوعِ الزِمامِ تَخالُهُ
قَضيباً مِنَ الريحانِ يَهتَزُّ أَخضَرا
مَريضِ جُفونِ المُقلَتَينِ مُزَنَّرٍ
لَهُ شَفَةٌ مِن مَصِّها مَصَّ سُكَّرا
فَلَو أَنَّهُ يَقظانُ أَو في مَنامِهِ
يَجودُ لِأَعمى بِالوَلاءِ لَأَبصَرا
يَخُرُّ لِصِرفِ الكَأسِ في السُكرِ ساجِداً
وَإِن مُزِجَت صَلّى عَلَيها وَكَيَّرا
أَدارَ عَلَينا بِالتَحِيَّةِ كَأسَهُ
وَسَربَلَها لَوناً مِنَ الراحِ أَحمَرا
فَقُلتُ لَهُ وَالكَأسُ تُزهى بِكَفِّهِ
وَقَد رَعَفَ الإِبريقُ فيها وَقَرقَرا
بِرَبِّكَ خَمراً أَم نَقيعاً سَقَيتَني
فَقالَ مِنَ التَكريهِ ماءً مُزَعفَرا
فَقُلتُ لَهُ هَب لي مِنَ النَومِ رَقدَةً
فَسَوفَ نُغاديها إِذا الصُبحُ أَسفَرا",11
لو أنني أسطيع صبرا وسلوة,طويل,"لَو أَنَّني أَسطيعُ صَبراً وَسَلوَةً
تَناسَيتُ لُبنى غَيرَ ما مُضمِرٍ حِقدا
وَلَكِنَّ قَلبي قَد تَقَسَّمَهُ الهَوى
شَتاتاً فَما أُلفى صَبوراً وَلا جَلدا
سَلِ اللَيلَ عَنّي كَيفَ أَرعى نُجومَهُ
وَكَيفَ أُقاسي الهَمَّ مُستَخلِياً فَردا
كَأَنَّ هُبوبَ الريحِ مِن نَحوِ أَرضَكُم
يُثيرُ فُتاتَ المِسكِ وَالعَنبَرَ النَدى",4
وليل كسا الآفاق ثوب ظلامه,طويل,"وَلَيل كَسا الآفاقُ ثَوبَ ظَلامِهِ
وَآلى يَميناً في الإِقامَةِ يَمكُثُ
ثَويَت وَقَلبي فيهِ لِلهَمِّ حَلقَةٌ
أَكابِدُهُ وَالخَوفُ بِالنَفسِ يَعبَثُ
أُصَبِّرُ روحي لا تُراعي واصبِري
سَيدركه نور الصَباح فَيحنَث",3
كتبت إلى مولاي عن سر لوعة,طويل,"كَتَبتُ إِلى مَولايَ عَن سِرِّ لَوعَةٍ
عَتا سِرُّها عَن أَن يُكاثَرَ بِاللَثمِ
كَأَنّي وَحاشى من أُخاطِبُهُ بِهِ
مِنَ الكَلِمِ المُملاةِ مِن خاطِرِ الهَمِّ
ضَللتُ عَلى جَهلي زَماناً بِغَيرِهِ
وَلَكِنَّني فيهِ ضَللتُ عَلى عِلمِ
لِذَلِكَ ما أَسمى الضَلالَ بِهِ هُدىً
كَما سَفَهي فيهِ يُتَرجِمُ عَن حِلمي
وَيا لَيتَني لَو كُنتُ في دَرجِ دُرجِهِ
وَيُطمِعُني في ذاكَ ما بي مِنَ السُقمِ",5
يقولون تب عنها لسوف أتوب,طويل,"يقولون تب عنها لسوف أتوب
وسوف إذا ربي أراد أنيب
فأنكر ندماني وأهجر حانتي
وللرشد بعد الغي سوف أثوب
وسوف أغض الطرف إن عرضت له
محاسنها رعبوبة ولعوب
وسوف الألى قالوا عرار قد ارعوى
ومن يرعوي بعد الضلال لبيب
يقولون طب نفساً بما قد فعلته
فما يستوي مستهتر وأَريب
أناشدكم وادي الشتا وظباءه
وغزلان وادي السير وهو حبيب
بغير هوى مضن وكأس مدامة
ولحن شجي كيف كيف تطيب
دعاني وقد ولى شبابي شبابها
دعاني وهل يعصي الشباب مشيب
وإني ولو جزت الثمانين حجة
لداعي صبابات الهوى لمجيب
لك اللّه يا قلبي لك اللّه خافقاً
به من تباريح الهيام ندوب
هل المرء إلا أصغريه فما عسى
يقولون عني إن خلاك وجيب",11
بدا لك نجم السعد واطلع النجح,طويل,"بَدَا لَكَ نَجْمُ السَّعْدِ واطَّلَعَ النُّجْحُ
فبِاللهِ فَاسْتَفْتِحْ فقد جاءَكَ الفَتْحُ
وَقَدْ قَدَّمَ النَّصْرُ العزيزُ لِواءَهُ
وقبلَ طُلوعِ الشَّمْسِ يَنْبَلِجُ الصُّبْحُ
فَقُدْ فِي سبيلِ اللهِ جَيْشاً كَأَنَّهُ
من الليلِ قِطْعٌ طَبَّقَ الأَرضَ أَوْ جُنْحُ
كتائِبُ فِي إِقدامِها الحَقُّ والهُدى
وأَلوِيَةٌ فِي عَقْدِها اليُمْنُ والنُّجْحُ
فَقَدْ حانَ يومُ الفتحِ واهْتَزَّتِ المُنى
وصَحَّ رَجاءُ السَّيْفِ واستبشَرَ الرُّمْحُ
وحَنَّتْ إِلَى يَومِ اللِّقاءِ سَوَابِحٌ
لَهَا فِي بِحارِ المَوْتِ نَحْوَ العِدى سَبْحُ
حَمَلْتَ عليها كُلَّ حامِلِ نِعْمَةٍ
بيُمْناكَ مقروناً بِهِ الصِّدْقُ والنُّصْحُ
بضائِعُهُمْ فِي مَتْجَرِ الحَرْبِ أَنْفُسٌ
رِضاكَ لَهَا فِي كُلِّ مَلْحَمَةٍ رِبْحُ
فيا أَنْفَسَ الأَملاكِ نَفْساً وإِنَّهُ
بِهَا فِي سِبيلِ اللهِ يَوْمَ الوَغى سَمْحُ
ويا أَيُّهَا المشغوفُ بالبأْسِ والندى
وَمَا زالَ مشغوفاً بِهِ الحمدُ والمدحُ
وبَحْرُكَ مَوْرُودُ السَّواحِل مُفْعَمٌ
وعَبْدُكَ قَدْ أَوْدَى بِهِ الظَّمَأُ البَرْحُ",11
تتابعت الأرسال من كل جانب,طويل,"تتابعت الأرسال من كلِّ جانبٍ
فضاقت بما جاءت عليّ مذاهبي
سررتُ بها لما علمت وجودها
من الله ذي العَرشِ المجيد المطالبِ
بما كلف الإنسان مما أتت به
شرائعه والحقُّ عينُ المخاطب
سمعنا أجبنا طاعةً لإلهنا
وما الشان إلا في صَدوقٍ وكاذبِ
إذا جاءت الأملاك تحملُ عرشَه
وتعضدها أمثالها في السحائبِ
وتأتي بما يقضيه بين عباده
لينتصفَ المظلومُ من ظلم غاضبِ",6
ألا عم صباحا أيها الربع واسلم,طويل,"أَلاَ عِمْ صَبَاحَاً أَيُّهَا الرَّبْعُ وَاسْلَمِ
وَدُمْ فِي جِوَارِ اللهِ غَيْرَ مُذَمَّم
وَلاَ عَدِمَتْ أَرْجَاؤُكَ النُّورَ إِنَّهَا
مَطَالِعُ أَقْمَارِي وَآفَاقُ أَنْجُمِي
إِذَا نَسِيَ النَّاسُ الْعُهُودَ وَأَغْفَلُوا
فَعَهْدُكَ فِي قَلْبِي وذِكْرِكَ فِي فَمِي
وَإِنِّي وَإِنْ أَزْمَعْتُ عَنْكَ لطِيَّة
وَقَوَّضْتُ رَحْلِي عَنْكَ دُونَ تَلَوُّمِ
فَقَلْبِي لَكَ الْبَيْتُ الْعَتِيقُ مَقَامُهُ
وَشَوْقِيَ إِحْرَامِي وَدَمْعِيَ زَمْزَمِي",5
